id,name,alias,IATA,ICAO,callsign,country,active
3108,Katekavia,,  ,KTK,KATEKAVIA,Russia,f
3109,Kato Airline,,  ,KAT,KATO-AIR,Norway,f
3198,LADE - Lineas Aereas Del Estado,,  ,LDE,LADE,Argentina,f
3199,LAI - Linea Aerea IAACA,,KG,BNX,AIR BARINAS,Venezuela,f
3202,LAN Cargo,,  ,LCO,LAN CARGO,Chile,f
3203,LAN Dominica,,  ,LNC,LANCANA,Dominican Republic,f
3206,LANSA,,  ,LSA,INTERNACIONAL,Dominican Republic,f
3207,LAP Colombia - Lineas Aereas Petroleras,,  ,APT, S.A.,LAP,f
3208,LASTP,,  ,OTN,LASTP,S,f
3209,LC Busre,,  ,LCB,BUSRE,Peru,f
3214,LTV Jet Fleet Corporation,,  ,JFC,JET-FLEET,United States,f
3215,LUKoil-Avia,,  ,LUK,LUKOIL,Russia,f
3216,La Ronge Aviation Services,,  ,ASK,AIR SASK,Canada,f
3217,La Valenciana Taxi Aereo,,  ,LVT,TAXIVALENCIANA,Mexico,f
3295,Lloyd Aereo Boliviano,,LB,LLB,LLOYDAEREO,Bolivia,f
3296,Lnair Air Services,,  ,LNA,ELNAIR,Spain,f
3297,Lockheed Air Terminal,,  ,XLG,"",United States,f
3298,Lockeed Aircraft Corporation,,  ,LAC,LOCKHEED,United States,f
3299,Lockheed DUATS,,  ,XDD,"",United States,f
3300,Lockheed Martin Aeronautics,,  ,CBD,CATBIRD,United States,f
3301,Lockheed Martin Aeronautics Company,,  ,LNG,LIGHTNING,United States,f
3302,Logan Air,,  ,LOG,LOGAN,United Kingdom,f
3303,Lom Praha Flying School,,  ,CLV,AEROTRAINING,Czech Republic,f
3304,Lomas Helicopters,,  ,LMS,LOMAS,United Kingdom,f
3305,London City Airport Jet Centre,,  ,LCY,LONDON CITY,United Kingdom,f
3306,London Executive Aviation,,  ,LNX,LONEX,United Kingdom,f
3307,London Flight Centre (Stansted),,  ,LOV,LOVEAIR,United Kingdom,f
3308,London Helicopter Centres,,  ,LHC,MUSTANG,United Kingdom,f
3309,Lone Star Airlines,,  ,LSS,LONE STAR,United States,f
3310,Long Island Airlines,,  ,ORA,LONG ISLAND,United States,f
3397,Mannion Air Charter,,  ,MAN,MANNION,United States,f
3398,Mantrust Asahi Airways,,  ,MTS,MANTRUST,Indonesia,f
3399,Manx Airlines,,  ,MNX,MANX,United Kingdom,f
3400,Maple Air Services,,  ,MAD,MAPLE AIR,Canada,f
3401,March Helicopters,,  ,MAR,MARCH,United Kingdom,f
3402,Marcopolo Airways,,  ,MCP,MARCOPOLO,Afghanistan,f
3403,Marghi Air,,  ,MGI,MARGHI,Nigeria,f
3404,Markair,,  ,MRK,MARKAIR,United States,f
3499,Midwest Aviation,,  ,NIT,NIGHTTRAIN,United States,f
3500,Midwest Aviation Division,,  ,MWT,MIDWEST,United States,f
3501,Midwest Helicopters De Mexico,,  ,HTE,HELICOPTERSMEXICO,Mexico,f
3502,Millardair,,  ,MAB,MILLARDAIR,Canada,f
3503,Millen Corporation,,  ,RJM,MILLEN,United Kingdom,f
3504,Millennium Air,,  ,MLK,NIGERJET,Nigeria,f
